P,v,baseline_mean,baseline_var
60.0,250.0,223.9579844198287,15.47799093388594
63.36134453781513,250.0,224.17684258476928,15.461962102868918
66.72268907563026,250.0,224.3717117182217,15.451102212411255
70.08403361344537,250.0,224.54277950600283,15.444185108547202
73.4453781512605,250.0,224.6903466666297,15.440172770592753
76.80672268907563,250.0,224.81482375413074,15.438201827786644
80.16806722689076,250.0,224.91672726343765,15.437569195720384
83.52941176470588,250.0,224.9966750648312,15.437717126069334
86.89075630252101,250.0,225.05538119900592,15.438217947171173
90.25210084033614,250.0,225.09365006957773,15.438758753282345
93.61344537815125,250.0,225.1123700744985,15.43912627773245
96.9747899159664,250.0,225.11250672239206,15.439192160358255
100.33613445378151,250.0,225.09509528399929,15.438898793367626
103.69747899159664,250.0,225.0612330326713,15.438245902853636
107.05882352941177,250.0,225.01207113117445,15.4372779961882
110.42016806722688,250.0,224.94880622504814,15.436072779122307
113.78151260504202,250.0,224.87267180508704,15.434730621029832
117.14285714285714,250.0,224.7849294035212,15.433365122865618
120.50420168067227,250.0,224.68685968983283,15.432094820267842
123.8655462184874,250.0,224.57975353298275,15.431036034121316
127.22689075630252,250.0,224.46490309716367,15.430296862893263
130.58823529411765,250.0,224.343593037965,15.429972295175013
133.9495798319328,250.0,224.21709186495215,15.430140407095735
137.3109243697479,250.0,224.08664353541783,15.43085959746315
140.67226890756302,250.0,223.95345934206975,15.432166803536965
144.03361344537814,250.0,223.81871015507298,15.434076631961277
147.39495798319328,250.0,223.68351907586373,15.436581332457099
150.75630252100842,250.0,223.54895455681827,15.439651536141978
154.11764705882354,250.0,223.41602403689348,15.443237675593135
157.47899159663865,250.0,223.28566813915265,15.447271999896051
160.84033613445376,250.0,223.15875547137293,15.451671094693516
164.2016806722689,250.0,223.03607806590793,15.45633881472234
167.56302521008405,250.0,222.91834748965675,15.461169534305782
170.92436974789916,250.0,222.8061916494651,15.466051619929031
174.28571428571428,250.0,222.7001523124317,15.470871028346457
177.64705882352942,250.0,222.6006833547189,15.475514933767611
181.00840336134453,250.0,222.5081497463993,15.47987528876343
184.36974789915968,250.0,222.42282727384801,15.483852225722282
187.7310924369748,250.0,222.34490299501024,15.487357209180031
191.0924369747899,250.0,222.27447641700516,15.49031585436806
194.45378151260505,250.0,222.211561379486,15.492670333928142
197.81512605042016,250.0,222.15608862153738,15.49438130317477
201.1764705882353,250.0,222.10790900435535,15.495429284490783
204.53781512605042,250.0,222.06679735662394,15.495815463520868
207.89915966386556,250.0,222.03245690468626,15.495561863628687
211.26050420168067,250.0,222.00452424489708,15.494710880517573
214.6218487394958,250.0,221.9825748113581,15.493324175660494
217.98319327731093,250.0,221.96612878854157,15.491480944982056
221.34453781512605,250.0,221.95465741486086,15.489275597630861
224.7058823529412,250.0,221.94758962045003,15.486814898180409
228.0672268907563,250.0,221.94431894018828,15.484214643678978
231.42857142857144,250.0,221.94421064094755,15.481595964026232
234.78991596638656,250.0,221.9466090010372,15.47908134957464
238.15126050420167,250.0,221.95084467889703,15.476790523017543
241.51260504201682,250.0,221.95624210796038,15.474836282966177
244.87394957983193,250.0,221.96212685497903,15.473320453536896
248.23529411764707,250.0,221.9678328799981,15.472330077394504
251.5966386554622,250.0,221.97270963747897,15.471933988540117
254.9579831932773,250.0,221.97612896014866,15.472179895549932
258.31932773109247,250.0,221.9774916694042,15.473092095786262
261.68067226890753,250.0,221.97623385903606,15.474669926383074
265.0420168067227,250.0,221.97183280229427,15.476887038719541
268.4033613445378,250.0,221.96381243601033,15.479691560083346
271.7647058823529,250.0,221.95174837950688,15.483007179684577
275.1260504201681,250.0,221.9352724504048,15.486735166922589
278.48739495798316,250.0,221.91407664400626,15.490757298567768
281.8487394957983,250.0,221.88791654792217,15.494939639233367
285.21008403361344,250.0,221.85661416845718,15.499137087257324
288.57142857142856,250.0,221.8200601506921,15.50319856692238
291.9327731092437,250.0,221.77821537923512,15.506972718931083
295.29411764705884,250.0,221.7311119521708,15.510313915368092
298.65546218487395,250.0,221.67885352582326,15.513088404026577
302.01680672268907,250.0,221.62161503342938,15.515180370930034
305.3781512605042,250.0,221.55964178585506,15.516497700016643
308.73949579831935,250.0,221.49324796751486,15.51697720589218
312.10084033613447,250.0,221.4228145456535,15.51658911987805
315.4621848739496,250.0,221.3487866155788,15.515340621468225
318.8235294117647,250.0,221.2716702089741,15.51327822690239
322.1848739495798,250.0,221.19202859637025,15.510488873581819
325.546218487395,250.0,221.11047811876116,15.507099573127553
328.9075630252101,250.0,221.02768358657863,15.503275546233942
332.2689075630252,250.0,220.944353287423,15.499216798252231
335.6302521008403,250.0,220.86123364650237,15.49515314444358
338.9915966386555,250.0,220.7791035860143,15.491337746770862
342.3529411764706,250.0,220.69876863144373,15.488039278471295
345.7142857142857,250.0,220.62105481420264,15.485532886841423
349.07563025210084,250.0,220.54680242092226,15.484090177068989
352.43697478991595,250.0,220.4768596402571,15.483968488794455
355.7983193277311,250.0,220.4120761581047,15.485399780855952
359.15966386554624,250.0,220.35329675182246,15.488579476643965
362.52100840336135,250.0,220.30135493327887,15.493655651426696
365.88235294117646,250.0,220.25706668936854,15.500718962453123
369.2436974789916,250.0,220.22122436718283,15.509793731759773
372.60504201680675,250.0,220.19459074905168,15.520830589515818
375.96638655462186,250.0,220.17789336050242,15.533701072023362
379.327731092437,250.0,220.17181905164028,15.54819454296556
382.6890756302521,250.0,220.1770088896224,15.564017769378625
386.0504201680672,250.0,220.1940533969268,15.580797435552471
389.4117647058824,250.0,220.22348816666295,15.598085819513248
392.7731092436975,250.0,220.26578988295864,15.615369789053558
396.1344537815126,250.0,220.32137277057967,15.632083198817007
399.4957983193277,250.0,220.39058549444263,15.647622688462937
402.8571428571429,250.0,220.47370852565865,15.661366796254534
406.218487394958,250.0,220.5709519870575,15.672698214630705
409.5798319327731,250.0,220.68245398712395,15.681028926556378
412.94117647058823,250.0,220.8082794475088,15.685827875938289
416.30252100840335,250.0,220.94841942536257,15.686650744357426
419.6638655462185,250.0,221.10279092811368,15.683171331922491
423.02521008403363,250.0,221.27123721456445,15.675213974262565
426.38655462184875,250.0,221.4535285727649,15.662786372363538
429.74789915966386,250.0,221.6493635617648,15.646112168752898
433.109243697479,250.0,221.8583707011118,15.625662573825226
436.47058823529414,250.0,222.0801105892023,15.60218633087421
439.83193277310926,250.0,222.3140784285975,15.576737308420025
443.1932773109244,250.0,222.55970693417737,15.550699023995866
